Difficulté;Questions;Réponses
1;Quel est le plus petit chiffre ? 4, 52, 63, 2;2
1;10 + 6 = ? ;16
1;15 + 5 = ? ;20
1;8 + 9 = ? ;17
1;6 + 6 + 2 = ?;14
1;10 + 10 + 10 = ?;30
1;10 - 7 = ?;3
1;9 - 3 = ?;6
1;18 - 9 = ?;9
1;20 - 5 - 6 = ?;9
1;Quel est le plus petit chiffre ? 7, 11, 6, 17;6
1;Complète la suite de chiffres : 60,70,..,90;80
1;Complète la suite de chiffres : 17,27,..,47;37
1;Complète la suite de chiffres : 3,9,..,21;15
1;Complète la suite de chiffres : 86,81,..,71;76
2;15 + 14 - 5 = ? ;24
2;36 + 2 + 7 = ? ;45
2;56 + 17 + 9 = ? ;82
2;11 + 22 + 32 = ?;65
2;15 + 15 + 25 = ?;55
2;43 + 12 + 9 = ?;64
2;15 - 5 - 6 = ?;4
2;32 - 8 - 15 = ?;9
2;70 - 20 - 6 = ?;44
2;90 - 40 = ?;50
2;3 fois 4 = ?;12
2;6 fois 3 = ?;18
2;10 fois 5 = ?;50
2;5 fois 8 = ?;40
2;7 fois 6 = ?;42
2;3 fois 9 = ?;27
3;15 + 7 + 11 + ... = 38;5
3;9 + 5 + 10 - 2 = ? ;22
3;2 x 3 x 4 = ? ;24
3;30 - 10 - 5 - 3 = ?;12
3;2 x 10 - 10 = ?;10
3;50 - ? = 19 ;31
3;Il y a trois écoles dans une ville, 1 contient 261 elèves, une autre 313 et la dernière 120. Combien y a t-il d'élèves dans cette ville ? ;694
3;Un packets de bonbon contient 105 bonbons, 5 élèves se le partage équitablement, combien chacun aura de bonbons ?;21
3;Mélanie est maladroite et a une trousse de 15 stylos, en 1 semaine elle en a perdu 1 par jour, combien lui en reste t-il ?;8
3;Un immeuble contient 200 appartements, chaques étages contient 20 appartements, combien y a t-il d'étages ?;10
3;Depuis 7 ans Didier fait un marathon de 42 kilomètres, chaques année il est allongé de 1 kilomètre, combien Didier a parcouru de kilomètres ?;315
3;100 000 + 30 030 + 1 100 = ?;131130
3;27 x 9 = ?;243
3;40 / 4 ? = ?;10
3;100 / ? = 4 ;25
3;5 x 5000 + 6 x 10 000 = ?;85000
